sample_id,roi_id,interaction_id,frame_index,timestamp,track_id,backend_name,topology,num_keypoints,overall_confidence,quality_score,processing_time_ms
SMP-INT-0003-126,ROI-INT-0003,INT-0003,126,4.204,1,MediaPipe,COCO_17,17,0.5,0.5,12.31
SMP-INT-0003-127,ROI-INT-0003,INT-0003,127,4.238,1,MediaPipe,COCO_17,17,0.5,0.5,12.35
SMP-INT-0003-128,ROI-INT-0003,INT-0003,128,4.271,1,MediaPipe,COCO_17,17,0.8718,0.8718,29.32
SMP-INT-0003-129,ROI-INT-0003,INT-0003,129,4.304,1,MediaPipe,COCO_17,17,0.5,0.5,25.91
SMP-INT-0003-130,ROI-INT-0003,INT-0003,130,4.338,1,MediaPipe,COCO_17,17,0.5,0.5,11.39
SMP-INT-0003-131,ROI-INT-0003,INT-0003,131,4.371,1,MediaPipe,COCO_17,17,0.5,0.5,11.22
SMP-INT-0003-132,ROI-INT-0003,INT-0003,132,4.404,1,MediaPipe,COCO_17,17,0.5,0.5,11.3
SMP-INT-0003-133,ROI-INT-0003,INT-0003,133,4.438,1,MediaPipe,COCO_17,17,0.5,0.5,10.66
SMP-INT-0003-134,ROI-INT-0003,INT-0003,134,4.471,1,MediaPipe,COCO_17,17,0.5,0.5,10.7
SMP-INT-0003-135,ROI-INT-0003,INT-0003,135,4.505,1,MediaPipe,COCO_17,17,0.5,0.5,10.71
SMP-INT-0003-136,ROI-INT-0003,INT-0003,136,4.538,1,MediaPipe,COCO_17,17,0.7602,0.6708,26.3
SMP-INT-0003-137,ROI-INT-0003,INT-0003,137,4.571,1,MediaPipe,COCO_17,17,0.7609,0.6714,27.04
SMP-INT-0003-138,ROI-INT-0003,INT-0003,138,4.605,1,MediaPipe,COCO_17,17,0.7156,0.5472,26.01
SMP-INT-0003-139,ROI-INT-0003,INT-0003,139,4.638,1,MediaPipe,COCO_17,17,0.7089,0.5421,26.28
SMP-INT-0003-140,ROI-INT-0003,INT-0003,140,4.671,1,MediaPipe,COCO_17,17,0.7492,0.6611,26.91
SMP-INT-0003-141,ROI-INT-0003,INT-0003,141,4.705,1,MediaPipe,COCO_17,17,0.5,0.5,10.66
SMP-INT-0003-142,ROI-INT-0003,INT-0003,142,4.738,1,MediaPipe,COCO_17,17,0.7629,0.6732,25.3
SMP-INT-0003-143,ROI-INT-0003,INT-0003,143,4.771,1,MediaPipe,COCO_17,17,0.6521,0.4603,26.04
